Query,Niche,Are niches similar,Title length (chars),H1,Is_question,Cosine similarity between search term and title,Word count,External links,Internal links,Backlinks,SERP position,Article link,DA,Readability
What is generative AI,AI and tech,AI and tech,22,What is generative AI?,TRUE,1,2453,4,4,6613,1,https://www.mckinsey.com/featured-insights/mckinsey-explainers/what-is-generative-ai,71,Fairly Hard
What is generative AI,AI and tech,AI and tech,38,What is GenAI? Generative AI explained,TRUE,0.7092972666,42249,13,20,7389,8,https://www.techtarget.com/searchenterpriseai/definition/generative-AI,90,Hard
What is generative AI,AI and tech,AI and tech,22,What is Generative AI?,TRUE,1,952,0,0,220,17,https://teaching.pitt.edu/resources/what-is-generative-ai,69,Very Easy
Best AI tools for writers,AI and tech,AI and tech,48,The 50 Best AI Tools for 2025 (Tried and Tested),FALSE,0.4109954639,14954,108,8,7707,3,https://www.synthesia.io/post/ai-tools,56,Fairly Hard
Best AI tools for writers,AI and tech,AI and tech,39,AI Writing Tools For Effortless Writing,FALSE,0.3171074666,1087,7,4,832,9,https://www.grammarly.com/ai/ai-writing-tools,90,Normal
Best AI tools for writers,AI and tech,Business and marketing,88,We tested the 7 best AI email writers: See our top picks for streamlining your marketing,FALSE,0.3226045087,5152,14,13,26,32,https://www.mailerlite.com/blog/best-ai-email-writers,53,Fairly Easy
Best AI tools for writers,AI and tech,Business and marketing,67,"9 of the Best AI Writing Tools and Assistants to Help You Work Smarter, Not Harder",TRUE,0.2202013872,3561,22,11,651,2,https://buffer.com/resources/ai-writing-tools/,69,Fairly Easy
Best AI tools for writers,AI and tech,Business and marketing,60,The 11 Best AI Writing Tools to Try in 2025 [Tried & Tested],FALSE,0.2496354941,6524,44,6,78,27,https://writesonic.com/blog/ai-writing-tools,58,Normal
Best AI tools for writers,AI and tech,Workflow automation,32,The 6 best AI writing generators,FALSE,0.2523342014,308,7,1,807,1,https://zapier.com/blog/best-ai-writing-generator/,80,Fairly Easy
How to use ChatGPT for research,AI and tech,Biomedical and life sciences,58,ChatGPT for Research and Publication: A Step-by-Step Guide,FALSE,0.2315705261,2912,22,12,20,2,https://pmc.ncbi.nlm.nih.gov/articles/PMC10731938/,100,Fairly Hard
How to use ChatGPT for research,AI and tech,AI and tech,78,"How to use ChatGPT to do research for papers, presentations, studies, and more",TRUE,0.6258188344,1767,14,0,219,13,https://www.zdnet.com/article/how-to-use-chatgpt-to-do-research-for-papers-presentations-studies-and-more/,75,Fairly Easy
How to use ChatGPT for research,AI and tech,Biomedical and life sciences,53,Using ChatGPT to assist with writing a research paper,TRUE,0.2798280652,352,7,0,4,3,https://www.medmastery.com/magazine/using-chatgpt-to-write-research-paper,43,Normal
How to use ChatGPT for research,AI and tech,Academic writing and editing support,51,How to Write a Paper with ChatGPT | Tips & Examples,TRUE,0.2798280652,3342,13,20,35,5,https://www.scribbr.com/ai-tools/chatgpt-research-paper/,85,Fairly Hard
Future of artificial intelligence,AI and tech,Tech and recruiting,67,The Future of AI: How Artificial Intelligence Will Change the World,TRUE,0.428569345,2412,30,0,4038,2,https://builtin.com/artificial-intelligence/artificial-intelligence-future,71,Fairly Hard
Future of artificial intelligence,AI and tech,AI and tech,52,The future of AI: What to expect in the next 5 years,TRUE,0.1683103093,2394,11,20,760,4,https://www.techtarget.com/searchenterpriseai/tip/The-future-of-AI-What-to-expect-in-the-next-5-years,90,Fairly Hard
Future of artificial intelligence,AI and tech,AI and tech,50,The future of AI: trends shaping the next 10 years,FALSE,0.1757860784,3520,6,0,237,1,https://www.ibm.com/think/insights/artificial-intelligence-future,88,Hard
Future of artificial intelligence,AI and tech,AI and tech,70,The Evolution and Future of Artificial Intelligence: A Student’s Guide,FALSE,0.5368927119,2459,23,1,215,3,https://www.calmu.edu/news/future-of-artificial-intelligence,38,Hard
What is machine learning used for,AI and tech,AI and tech,25,What is machine learning?,TRUE,0.7092972666,2275,7,11,2360,14,https://azure.microsoft.com/en-us/resources/cloud-computing-dictionary/what-is-machine-learning-platform,100,
What is machine learning used for,AI and tech,AI and tech,57,"What is Machine Learning? Definition, Types, Tools & More",TRUE,0.4112070551,4953,13,2,969,17,https://www.datacamp.com/blog/what-is-machine-learning,68,Fairly Hard
Generative AI vs traditional AI,AI and tech,AI and tech,0,Generative AI vs. Traditional AI: Understanding the Differences,FALSE,0.7358969498,79,4,0,55,5,https://www.ourcrowd.com/learn/generative-ai-vs-traditional-ai,38,Very Easy
Generative AI vs traditional AI,AI and tech,Business and finance,87,The Difference Between Generative AI And Traditional AI: An Easy Explanation For Anyone,FALSE,0.4357017401,2558,18,0,6670,1,https://www.forbes.com/sites/bernardmarr/2023/07/24/the-difference-between-generative-ai-and-traditional-ai-an-easy-explanation-for-anyone/,100,Fairly Easy
Generative AI vs traditional AI,AI and tech,Professional development,53,Exploring the Shift from Traditional to Generative AI,FALSE,0.3947153106,1393,21,0,15,3,https://curve.mit.edu/exploring-shift-traditional-generative-ai,90,Hard
Generative AI vs traditional AI,AI and tech,Education and research,20,College of Education,FALSE,0,2823,10,2,19,4,https://education.illinois.edu/about/news-events/news/article/2024/11/11/what-is-generative-ai-vs-ai,75,Hard
AI content detection tools,AI and tech,Workflow automation,37,The best AI content detectors in 2025,FALSE,0.2379030946,276,7,3,256,1,https://zapier.com/blog/ai-content-detector/,80,Fairly Easy
AI content detection tools,AI and tech,Freelancing,78,I Tested 30+ AI Detectors. These 7 Stood Out as the Best.,FALSE,0.0876868198,6450,158,0,38,12,https://medium.com/freelancers-hub/best-ai-detectors-2025-35a58eac86c5,97,Fairly Easy
AI content detection tools,AI and tech,Academic integrity,108,Evaluating the efficacy of AI content detection tools in differentiating between human and AI-generated text,FALSE,0.4664255907,5422,67,56,16687,18,https://edintegrity.biomedcentral.com/articles/10.1007/s40979-023-00140-5,74,Hard
AI content detection tools,AI and tech,Ai and tech,36,9 Best AI Content Detectors Reviewed,FALSE,0.2912194186,3081,26,11,20,8,https://surferseo.com/blog/best-ai-content-detection-tools/,53,Normal
How to create a content marketing strategy,AI and tech,Business and marketing,42,How To Create a Content Marketing Strategy,TRUE,1,5934,49,49,1459,18,https://optinmonster.com/how-to-create-a-successful-content-marketing-strategy-in-8-simple-steps/,53,Normal
How to create a content marketing strategy,Business and marketing,Journalism,52,The 9 Steps to Building a Content Marketing Strategy,FALSE,0.4502681447,3354,28,15,39,14,https://nytlicensing.com/latest/methods/6-steps-building-content-marketing-strategy/,43,Fairly Hard
How to create a content marketing strategy,Business and marketing,Business and marketing,55,8 Steps to a Lead-Generating Content Marketing Strategy,FALSE,0.4502681447,2206,30,1,394,5,https://www.wordstream.com/blog/ws/2021/07/13/content-marketing-strategy,69,Fairly Easy
How to create a content marketing strategy,Business and marketing,Business and marketing,45,How to Develop a Content Strategy in 13 Steps,TRUE,0.4112070551,5489,21,8,862,56,https://terakeet.com/blog/content-strategy/,38,Normal
How to create a content marketing strategy,Business and marketing,Business and marketing,46,How to Build a Small Business Content Strategy,TRUE,0.4502681447,2100,16,2,25,,https://www.uschamber.com/co/grow/marketing/develop-small-business-content-strategy,55,Normal
How to create a content marketing strategy,Business and marketing,Business and marketing,45,The Complete Content Marketing Guide For 2025,FALSE,0.1844319166,6247,47,3,839,13,https://copyblogger.com/content-marketing/,44,Normal
Brand positioning examples,Business and marketing,Business and marketing,26,Brand Positioning Examples,FALSE,1,2142,4,1,1,10,https://allegrow.com/brand-positioning-examples/,26,Hard
Brand positioning examples,Business and marketing,Business and marketing,69,"What is positioning? Market, product, and brand positioning explained",TRUE,0.3665294775,3862,24,7,580,12,https://www.productmarketingalliance.com/your-guide-to-positioning/,41,Fairly Hard
Brand positioning examples,Business and marketing,Business and marketing,53,15 Examples Of Good Brand Positioning & Why They Work,TRUE,0.4494364165,3317,50,22,0,13,https://www.hatchwise.com/resources/examples-of-brand-positioning-and-why-they-work,48,Normal
Brand positioning examples,Business and marketing,Business and marketing,71,"What Is Brand Positioning? Definition, Example, and Why It Is Important",TRUE,0.2059238899,1848,20,11,0,31,https://www.shopify.com/in/blog/brand-positioning,90,Normal
What is product-led growth,Business and marketing,Business and marketing,27,What is product-led growth?,TRUE,1,4073,40,10,876,1,https://www.productled.org/foundations/what-is-product-led-growth,35,Normal
What is product-led growth,Business and marketing,Business and marketing,73,"Product-Led Growth (PLG): A definition, examples, and why it's taking off",TRUE,0,4257,28,4,586,2,https://productled.com/blog/product-led-growth-definition,37,Fairly Easy
What is product-led growth,Business and marketing,User enablement for business and IT teams,18,Product-led growth,FALSE,0.656972921,1208,13,0,56,8,https://www.pendo.io/glossary/product-led-growth/,50,Normal
What is product-led growth,Business and marketing,Business and marketing,57,"What Is Product-Led Growth? Strategy, Metrics, & Examples",TRUE,0.6764792401,2411,1,0,175,9,https://amplitude.com/blog/product-led-growth,53,Fairly Hard
What is product-led growth,Business and marketing,Business and marketing,18,Product-Led Growth,FALSE,0.656972921,723,8,3,14,10,https://www.productplan.com/glossary/product-led-growth/,58,Fairly Hard
What is product-led growth,Business and marketing,Business and marketing,27,What is product-led growth?,TRUE,1,3166,4,19,5,4,https://www.aha.io/roadmapping/guide/what-is-product-led-growth,48,Normal
What is product-led growth,Business and marketing,Business and marketing,66,Learn the difference between demand generation and lead generation,FALSE,0,1652,0,5,6,5,https://business.adobe.com/blog/basics/demand-generation-versus-lead-generation,100,Hard
demand generation vs lead generation,Business and marketing,Business and marketing,57,Everything You Need to Know About Demand Gen vs. Lead Gen,FALSE,0.1904842771,1061,41,2,75,3,https://blog.hubspot.com/sales/lead-generation-vs-demand-generation,78,Normal
demand generation vs lead generation,Business and marketing,Business and marketing,82,Understand Your Buyer's Journey: When to Use Demand Generation vs. Lead Generation,TRUE,0.5797386715,1790,26,3,9,4,https://mailchimp.com/resources/demand-generation-vs-lead-generation/,79,Fairly Hard
demand generation vs lead generation,Business and marketing,Business and marketing,54,Demand Generation vs Lead Generation – Key Differences,FALSE,0.7995189954,2152,9,6,1,8,https://www.on24.com/blog/demand-generation-vs-lead-generation-key-differences/,47,Fairly Hard
demand generation vs lead generation,Business and marketing,Team collaboration,65,Demand generation vs lead generation: Everything you need to know,FALSE,0.6440294966,1672,67,3,2,18,https://lucidspark.com/blog/demand-generation-vs-lead-generation,53,
Sales funnel stages explained,Business and marketing,Business and marketing,59,What is a Sales Funnel and How to Build an Effective Funnel,TRUE,0.2696367724,6904,15,2,266,1,https://www.salesforce.com/in/blog/sales-funnel/,83,Normal
Sales funnel stages explained,Business and marketing,Business and marketing,0,"Sales funnels: definition, process, stages, template and examples",FALSE,0.2202881506,0,0,0,0,5,http://pipedrive.com/en/blog/sales-funnel,58,
Sales funnel stages explained,Business and marketing,Business and marketing,63,"What is a marketing funnel? How they work, stages, and examples",TRUE,0.1943143402,1961,4,28,6594,13,https://advertising.amazon.com/library/guides/marketing-funnel,100,Fairly Hard
Sales funnel stages explained,Business and marketing,Business and marketing,62,How to optimize your marketing funnel for the customer journey,TRUE,0.0876868198,2978,12,5,231,30,https://www.hotjar.com/marketing-funnel/,56,Normal
Sales funnel stages explained,Business and marketing,Business and marketing,49,The Sales Funnel Defined With Stages and Examples,FALSE,0.3748077701,1939,13,0,4,31,https://www.salesloft.com/resources/blog/sales-funnel-definition,45,Fairly Hard
Account-based marketing strategy,Business and marketing,Business and marketing,76,8 Steps to Build Your Account Based Marketing Strategy [+ Recommended Tools],FALSE,0.5023287782,5882,53,12,2456,4,https://blog.hubspot.com/marketing/account-based-marketing-guide,78,Normal
Account-based marketing strategy,Business and marketing,Business and marketing,43,Your guide to account-based marketing (ABM),FALSE,0.4073526043,2646,3,7,1193,1,https://business.adobe.com/blog/basics/account-based-marketing,100,Fairly Hard
Account-based marketing strategy,Business and marketing,Business and marketing,23,Account-based marketing,FALSE,0.7765145305,1824,12,3,366,2,https://www.optimizely.com/optimization-glossary/account-based-marketing/,56,Fairly Hard
Account-based marketing strategy,Business and marketing,Business and marketing,68,7 Effective Account-Based Marketing (ABM) Tactics to Boost B2B Sales,FALSE,0.3278707472,2392,10,4,67,16,https://www.vidyard.com/blog/account-based-marketing-tactics/,49,Normal
Account-based marketing strategy,Business and marketing,Business and marketing,59,What is Account Based Marketing (ABM)? 2025 Strategic Guide,TRUE,0.348993908,4183,22,13,57,14,https://www.cognism.com/blog/account-based-marketing,51,Normal
Account-based marketing strategy,Business and marketing,Business and marketing,65,The Complete Guide to Starting with Account-Based Marketing (ABM),FALSE,0.3278707472,7787,45,9,82,73,https://xgrowth.com.au/account-based-marketing/,29,Fairly Easy
Low-cost marketing ideas for startups,Business and marketing,Business and marketing,40,20 Low Cost Marketing Ideas for Startups,FALSE,0.867363685,4594,44,82,57,1,https://www.digitalocean.com/resources/articles/marketing-ideas-for-startups,70,Fairly Hard
Low-cost marketing ideas for startups,Business and marketing,Business and marketing,53,27 Free & Low-Budget Marketing Ideas for Any Business,FALSE,0.380816533,3919,32,7,1402,3,https://www.wordstream.com/blog/ws/2020/12/09/free-and-low-budget-marketing-ideas,69,Normal
Low-cost marketing ideas for startups,Business and marketing,Business and marketing,193,"31 Ways to Market Your Business on a Budget Using these 31 low-cost marketing ideas, you can take your business to the next level. Plus, marketing and advertising advice from industry veterans.",TRUE,0.2032223558,3676,31,2,310,6,https://www.entrepreneur.com/growing-a-business/no-money-no-problem-30-low-budget-marketing-ideas-for/327097,66,Normal
Low-cost marketing ideas for startups,Business and marketing,Business and marketing,53,9 inexpensive marketing ideas for your small business,FALSE,0.3041257419,1333,11,1,14,2,https://www.freeagent.com/guides/small-business/marketing-ideas/,50,Fairly Easy
best credit cards for travel,Finance and investing,Finance and investing,0,Best Travel Credit Cards of May 2025,FALSE,0.5193879933,0,0,0,669,6,https://money.usnews.com/credit-cards/travel,92,
best credit cards for travel,Finance and investing,Finance and investing,0,Travel rewards 101,FALSE,0.150640185,2563,27,1,52,14,https://moneywithkatie.com/travel-credit-cards,38,Fairly Easy
best credit cards for travel,Finance and investing,Finance and investing,50,The best travel credit cards to add to your wallet,FALSE,0.3677199805,5090,9,1,93,5,https://thepointsguy.com/credit-cards/best-travel-credit-cards/,68,Fairly Easy
ETFs vs mutual funds,Finance and investing,Finance and investing,21,ETFs vs. mutual funds,FALSE,1,1894,16,31,1005,1,https://www.schwab.com/etfs/mutual-funds-vs-etfs,76,Normal
ETFs vs mutual funds,Finance and investing,Finance and investing,0,ETFs vs. mutual funds: A comparison,TRUE,0.8181802074,0,0,0,755,2,https://investor.vanguard.com/investor-resources-education/etfs/etf-vs-mutual-fund,73,
ETFs vs mutual funds,Finance and investing,Finance and investing,43,ETF vs. mutual fund: What’s the difference?,TRUE,0.2379030946,1853,9,4,8,3,https://www.usbank.com/investing/financial-perspectives/investing-insights/etfs-vs-mutual-fund.html,75,Normal
ETFs vs mutual funds,Finance and investing,Finance and investing,43,Mutual Fund vs. ETF: What's the Difference?,TRUE,0.2379030946,3698,34,12,975,11,https://www.investopedia.com/articles/exchangetradedfunds/08/etf-mutual-fund-difference.asp,96,Fairly Easy
ETFs vs mutual funds,Finance and investing,Finance and investing,66,Mutual Funds vs. ETFs: Which is best for your investment strategy?,TRUE,0.4736820225,2995,1,1,13,5,https://www.troweprice.com/personal-investing/resources/insights/mutual-funds-vs-etfs-which-best-for-your-investment-strategy.html,60,Normal
Benefits of intermittent fasting,Health and wellness,Health and wellness,0,"Intermittent Fasting: What is it, and how does it work?",TRUE,0.1757860784,0,0,0,29874,1,https://www.hopkinsmedicine.org/health/wellness-and-prevention/intermittent-fasting-what-is-it-and-how-does-it-work,94,Can't crawl
Benefits of intermittent fasting,Health and wellness,Health and wellness,61,What Is Intermittent Fasting and How Does It Affect the Body?,TRUE,0.1843555419,3246,77,12,3438,2,https://www.healthline.com/nutrition/10-health-benefits-of-intermittent-fasting,100,Fairly Hard
Benefits of intermittent fasting,Health and wellness,Health and wellness,33,A guide to eating a balanced diet,FALSE,0,1644,37,4,1738,6,https://www.medicalnewstoday.com/articles/324093,100,Normal
Benefits of intermittent fasting,Health and wellness,Health and wellness,64,Intermittent Fasting Explained: Benefits and How To Do It Safely,TRUE,0.3278707472,1936,12,0,1239,12,https://health.clevelandclinic.org/intermittent-fasting-4-different-types-explained,100,Normal
How to improve sleep quality,Health and wellness,Health and wellness,43,Top 15 Proven Tips to Sleep Better at Night,FALSE,0.1785662156,3599,91,17,15136,2,https://www.healthline.com/nutrition/17-tips-to-sleep-better,100,Fairly Easy
How to improve sleep quality,Health and wellness,Health and wellness,31,20 Tips for How to Sleep Better,TRUE,0.344642141,3130,24,11,7369,8,https://www.sleepfoundation.org/sleep-hygiene/healthy-sleep-tips,75,Fairly Easy
How to improve sleep quality,Health and wellness,Health and wellness,42,Try these 13 tips to help you sleep better,FALSE,0.1785662156,756,18,0,139,4,https://health.ucdavis.edu/news/headlines/try-these-13-tips-to-help-you-sleep-better/2023/07,78,Easy
Importance of hydration,Health and wellness,Health and wellness,27,The importance of hydration,FALSE,0.7765145305,394,10,1,124,2,https://hsph.harvard.edu/news/the-importance-of-hydration/,92,Fairly Easy
Importance of hydration,Health and wellness,Health and wellness,4,10 Reasons Why Hydration is Important,TRUE,0.1362763414,1527,29,2,656,3,https://www.ncoa.org/article/10-reasons-why-hydration-is-important/,60,Normal
Importance of hydration,Health and wellness,Health and wellness,59,Why it’s important for you to drink water and stay hydrated,TRUE,0,843,11,1,814,1,https://health.ucdavis.edu/blog/good-food/why-its-important-for-you-to-drink-water-and-stay-hydrated/2022/07,78,Normal
Importance of hydration,Health and wellness,Health and wellness,0,Sports and Hydration for Athletes: Q&A with a Dietitian,FALSE,0.125366938,0,0,0,911,6,https://www.hopkinsmedicine.org/health/wellness-and-prevention/nutrition-and-fitness/sports-and-hydration-for-athletes,94,Can't crawl
HIIT workout plan,Health and wellness,Health and wellness,72,"HIIT Workout Plan: Beginner, Intermediate, and Advanced Exercises to Try",TRUE,0.4222338853,1386,5,6,2,1,https://hydrow.com/blog/hiit-workout-plan-beginner-intermediate-and-advanced-exercises-to-try/,48,Easy
HIIT workout plan,Health and wellness,Health and wellness,28,Four 20-Minute HIIT Workouts,FALSE,0.150640185,2472,12,6,26,4,https://www.puregym.com/blog/four-20-minute-hiit-workouts/,64,Very Easy
HIIT workout plan,Health and wellness,Health and wellness,35,28 Best HIIT Workouts for Beginners,FALSE,0.1362763414,1639,6,28,18,12,https://hydrow.com/blog/28-best-hiit-workouts-for-beginners/,48,Very Easy
HIIT workout plan,Health and wellness,Health and wellness,51,"HIIT Workouts: Programming, Exercises, and Benefits",TRUE,0.1362763414,2373,6,4,132,16,https://blog.nasm.org/hiit-workout-plan,59,Normal
Holistic health approach,Health and wellness,Health and wellness,53,What Is Holistic Health? Overview and Career Outcomes,TRUE,0.2695176132,1580,22,1,915,1,https://www.stkate.edu/healthcare-degrees/what-is-holistic-health,49,Hard
Holistic health approach,Health and wellness,Health and wellness,0,"What Is Holistic Health Care, Anyway?",TRUE,0,0,0,0,623,6,https://www.dignityhealth.org/articles/what-is-holistic-health-care-anyway,66,Can't crawl
Holistic health approach,Health and wellness,Health and wellness,56,Holistic Health: A Guide to Better Health and Well-Being,TRUE,0.3665294775,2251,27,9,194,3,https://www.health.com/holistic-health-8652522,79,Hard
How to reduce plastic waste,Environment and sustainability,Environment and sustainability,39,What You Can Do to Reduce Plastic Waste,TRUE,0.4743307065,768,12,5,209,1,https://www.epa.gov/plastics/what-you-can-do-reduce-plastic-waste,82,Fairly Easy
How to reduce plastic waste,Environment and sustainability,Environment and sustainability,0,10 Ways to Reduce Plastic Pollution,FALSE,0.3808726085,0,0,0,1639,2,https://www.nrdc.org/stories/10-ways-reduce-plastic-pollution,64,Can't crawl
How to reduce plastic waste,Environment and sustainability,Environment and sustainability,23,Reduce Your Plastic Use,FALSE,0.2912194186,2195,14,10,28,6,https://ecocycle.org/eco-living/refuse-and-reduce/how-to-reduce-plastic/,39,Easy
Renewable energy vs fossil fuels,Environment and sustainability,Environment and sustainability,50,Setting the Record Straight About Renewable Energy,FALSE,0.2061369661,2660,59,7,593,1,https://www.wri.org/insights/setting-record-straight-about-renewable-energy,53,Fairly Hard
Renewable energy vs fossil fuels,Environment and sustainability,Environment and sustainability,51,Renewable Energy vs Fossil Fuels: 5 Essential Facts,FALSE,0.747407354,914,8,2,35,4,https://amigoenergy.com/blog/renewable-energy-vs-fossil-fuels/,41,Normal
Renewable energy vs fossil fuels,Environment and sustainability,Environment and sustainability,52,The battle between renewable energy and fossil fuels,FALSE,0.4743307065,708,3,2,144,2,https://www.hiveenergy.co.uk/2022/05/17/renewable-energy-vs-fossil-fuels/,25,Normal
Renewable energy vs fossil fuels,Environment and sustainability,Environment and sustainability,59,Renewable Green Energy vs Fossil Fuels: How do They Differ?,TRUE,0.5797386715,2023,7,0,29,12,https://www.inspirecleanenergy.com/blog/clean-energy-101/renewable-energy-vs-fossil-fuels,46,Can't crawl
Green tech innovations,Environment and sustainability,Tech and IT,55,2024’s Breakthroughs in GreenTech: Innovations to Watch,FALSE,0.125366938,1908,25,7,12,3,https://www.axon.dev/blog/breakthroughs-in-greentech-innovations-to-watch,27,Hard
Green tech innovations,Environment and sustainability,Tech and IT,22,Green Tech Innovations,FALSE,1,434,14,5,5,14,https://its.fsu.edu/article/green-tech-innovations,71,Hard
Green tech innovations,Environment and sustainability,Finance and investing,63,"What Is Green Tech? How It Works, Types, Adoption, and Examples",TRUE,0.2255548722,3232,42,12,1362,5,https://www.investopedia.com/terms/g/green_tech.asp,96,Fairly Hard
Composting at home guide,Environment and sustainability,Environment and sustainability,18,Composting At Home,FALSE,0.7765145305,2895,18,17,19608,1,https://www.epa.gov/recycle/composting-home,82,Fairly Easy
Composting at home guide,Environment and sustainability,Environment and sustainability,0,Composting 101,FALSE,0.2202881506,0,0,0,4160,2,https://www.nrdc.org/stories/composting-101,64,Can't crawl
Composting at home guide,Environment and sustainability,Environment and sustainability,0,How to Make Compost: A Guide to Composting at Home,TRUE,0.4736820225,0,0,0,64,38,https://www.almanac.com/how-to-make-compost,76,Can't crawl
Composting at home guide,Environment and sustainability,Environment and sustainability,10,Composting guide,FALSE,0.3799783616,2975,6,14,1281,21,https://learn.eartheasy.com/guides/composting/,48,Fairly Easy
Electric cars vs hybrid cars,Cars and driving,Cars and driving,47,Electric vs. Hybrid Cars: Pros and Cons of Each,FALSE,0.5073159272,1043,13,3,165,1,https://www.caranddriver.com/features/a60300121/electric-vs-hybrid-cars-pros-and-cons/,87,Normal
Electric cars vs hybrid cars,Cars and driving,Cars and driving,0,Electrive vs. Hybrid cars,FALSE,0,0,0,0,252,5,https://www.kbb.com/car-advice/hybrid-vs-electric-why-hybrids-make-more-sense/,86,Can't crawl
How climate change affects health,Environment and sustainability,Environment and sustainability,14,Climate change,FALSE,0.5023287782,2106,8,4,69891,2,https://www.who.int/news-room/fact-sheets/detail/climate-change-and-health,95,Normal
How climate change affects health,Environment and sustainability,Environment and sustainability,6,Climate Impacts on Human Health,FALSE,0,4190,24,85,904,3,https://climatechange.chicago.gov/climate-impacts/climate-impacts-human-health,66,Normal
How climate change affects health,Environment and sustainability,Environment and sustainability,35,Effects of Climate Change on Health,FALSE,0.3808726085,605,18,26,1198,1,https://www.cdc.gov/climate-health/php/effects/index.html,99,Normal
Best remote work destinations,Travel and lifestyle/remote work,Travel and lifestyle,91,I've Been a Digital Nomad for 7 Years—These Are My 5 Favorite Destinations to Work Remotely,TRUE,0.1617137807,1221,35,30,85,5,https://www.travelandleisure.com/remote-work-destinations-digital-nomad-11683494,76,Fairly Easy
Best remote work destinations,Travel and lifestyle/remote work,Remote work,0,The best destinations for remote work,FALSE,0.7092972666,5285,4,3,168,1,https://remote.com/resources/research/best-destinations-for-remote-work,55,Normal
